,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
388,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,audio_features,1r1fPuhj9H4VdXr7OK6FL5,spotify:track:1r1fPuhj9H4VdXr7OK6FL5,https://api.spotify.com/v1/tracks/1r1fPuhj9H4VdXr7OK6FL5,https://api.spotify.com/v1/audio-analysis/1r1fPuhj9H4VdXr7OK6FL5,205400,4
389,0.824,0.549,5,-8.747,1,0.0382,0.394,0.0,0.141,0.862,126.799,audio_features,2U2NYRYjXPpVxQ0tkGqyId,spotify:track:2U2NYRYjXPpVxQ0tkGqyId,https://api.spotify.com/v1/tracks/2U2NYRYjXPpVxQ0tkGqyId,https://api.spotify.com/v1/audio-analysis/2U2NYRYjXPpVxQ0tkGqyId,111013,4
390,0.771,0.687,11,-9.814,1,0.0693,0.0318,0.000225,0.89,0.783,118.392,audio_features,2LlQb7Uoj1kKyGhlkBf9aC,spotify:track:2LlQb7Uoj1kKyGhlkBf9aC,https://api.spotify.com/v1/tracks/2LlQb7Uoj1kKyGhlkBf9aC,https://api.spotify.com/v1/audio-analysis/2LlQb7Uoj1kKyGhlkBf9aC,357800,4
391,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,audio_features,3BovdzfaX4jb5KFQwoPfAw,spotify:track:3BovdzfaX4jb5KFQwoPfAw,https://api.spotify.com/v1/tracks/3BovdzfaX4jb5KFQwoPfAw,https://api.spotify.com/v1/audio-analysis/3BovdzfaX4jb5KFQwoPfAw,258400,4
392,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,audio_features,67BtfxlNbhBmCDR2L2l8qd,spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd,137876,4
393,0.686,0.874,9,-3.92,0,0.0512,0.0667,0.00146,0.129,0.563,122.099,audio_features,7cQ7axcCXsa963OluHTWlS,spotify:track:7cQ7axcCXsa963OluHTWlS,https://api.spotify.com/v1/tracks/7cQ7axcCXsa963OluHTWlS,https://api.spotify.com/v1/audio-analysis/7cQ7axcCXsa963OluHTWlS,268707,4
394,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,2YpeDb67231RjR0MgVLzsG,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,157067,4
395,0.54,0.733,6,-6.531,1,0.0455,0.00523,0.238,0.242,0.716,120.062,audio_features,2i1RPs2CVW6Iw92PuWcQgF,spotify:track:2i1RPs2CVW6Iw92PuWcQgF,https://api.spotify.com/v1/tracks/2i1RPs2CVW6Iw92PuWcQgF,https://api.spotify.com/v1/audio-analysis/2i1RPs2CVW6Iw92PuWcQgF,229440,4
396,0.737,0.854,3,-6.414,0,0.221,0.0475,0.0,0.0905,0.65,150.621,audio_features,17N5FdRwJuv3UXQ7MHnbhF,spotify:track:17N5FdRwJuv3UXQ7MHnbhF,https://api.spotify.com/v1/tracks/17N5FdRwJuv3UXQ7MHnbhF,https://api.spotify.com/v1/audio-analysis/17N5FdRwJuv3UXQ7MHnbhF,166080,4
397,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,audio_features,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4
398,0.828,0.949,6,-3.443,0,0.0458,0.0348,0.0113,0.317,0.534,123.973,audio_features,4XOnM8efyB3PQanXQnwlGO,spotify:track:4XOnM8efyB3PQanXQnwlGO,https://api.spotify.com/v1/tracks/4XOnM8efyB3PQanXQnwlGO,https://api.spotify.com/v1/audio-analysis/4XOnM8efyB3PQanXQnwlGO,156774,4
399,0.717,0.604,6,-6.602,1,0.109,0.116,9.68e-06,0.132,0.749,67.029,audio_features,2ysVuXmtSgghzyYijfj7Od,spotify:track:2ysVuXmtSgghzyYijfj7Od,https://api.spotify.com/v1/tracks/2ysVuXmtSgghzyYijfj7Od,https://api.spotify.com/v1/audio-analysis/2ysVuXmtSgghzyYijfj7Od,204270,4
400,0.675,0.522,1,-13.205,0,0.0461,0.242,5.39e-06,0.287,0.476,132.032,audio_features,6buqYaAyimysMjE8yuiaXy,spotify:track:6buqYaAyimysMjE8yuiaXy,https://api.spotify.com/v1/tracks/6buqYaAyimysMjE8yuiaXy,https://api.spotify.com/v1/audio-analysis/6buqYaAyimysMjE8yuiaXy,170000,4
401,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,audio_features,39Yp9wwQiSRIDOvrVg7mbk,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,165978,4
402,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4
403,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
404,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,4
