,song,artist,date,explicit,uri,popularity,usuario,links,uri_artista
61,NASA,Ariana Grande,2019-02-08,False,spotify:track:4uTvPEr01pjTbZgl7jcKBD,65,Ana S,https://open.spotify.com/track/4uTvPEr01pjTbZgl7jcKBD,66CXWjxzNUsdJxJ2JdwvnR
62,Higgs Boson Blues,Nick Cave & The Bad Seeds,2013-02-18,False,spotify:track:49xoaBZC9IJfxxeBI37rmX,41,Ana S,https://open.spotify.com/track/49xoaBZC9IJfxxeBI37rmX,4UXJsSlnKd7ltsrHebV79Q
63,The Pond,Cava Grande,2021-01-29,False,spotify:track:0IyuvVFF4mXGi9viEqaEsI,28,Ana,https://open.spotify.com/track/0IyuvVFF4mXGi9viEqaEsI,3oz9j5Fx4nYt1iaAuG6Z9J
64,In My Head,Juice WRLD,2022-10-28,True,spotify:track:2RJAKIw6nIkgZVsAIKhmqz,80,Miriam,https://open.spotify.com/track/2RJAKIw6nIkgZVsAIKhmqz,4MCBfE4596Uoi2O4DtmEMz
65,La flaca,Jarabe De Palo,1996-09-30,False,spotify:track:2LsbizbOeNa4x6qsi2jAMb,74,Elisa,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb,5B6H1Dq77AV1LZWrbNsuH5
66,Alter Ego,NTO,2018-08-17,False,spotify:track:18MlLrfCkYOnKutil99GwY,50,Ana,https://open.spotify.com/track/18MlLrfCkYOnKutil99GwY,7ry8L53T4oJtSIogGYuioq
67,SPACEMAN - REBELS NEVER DIE REWORK,Hardwell,2022-12-23,False,spotify:track:3cL8eDfcvn8f21flKjXFKj,46,Miriam,https://open.spotify.com/track/3cL8eDfcvn8f21flKjXFKj,6BrvowZBreEkXzJQMpL174
68,Spiritual but Not Religious,Oliver Koletzki,2017-05-19,False,spotify:track:6fxq63aKjMmi1WMI9iKX5w,53,Ana,https://open.spotify.com/track/6fxq63aKjMmi1WMI9iKX5w,1WjBIvYAnZTkTh5UiZNwlR
69,Lazerhead,Sticky Fingers,2014-08-01,False,spotify:track:2JW9C57nfxLLRIihbArVJ0,0,Elisa,https://open.spotify.com/track/2JW9C57nfxLLRIihbArVJ0,3ZGr7nQBXDU2WhyXgRVbt0
70,Jennesys,Emrod,2017-03-10,False,spotify:track:7LihoPgTF9hnxMh9lRTNkA,55,Ana,https://open.spotify.com/track/7LihoPgTF9hnxMh9lRTNkA,7Gd2a8LhB6hvrgFjuZMw9U
71,Jungle,Tash Sultana,2017-03-01,False,spotify:track:6t1ahr2f1t9iSjjNFwFb4C,64,Elisa,https://open.spotify.com/track/6t1ahr2f1t9iSjjNFwFb4C,6zVFRTB0Y1whWyH7ZNmywf
72,Nopalitos,Kid Francescoli,2021-03-18,False,spotify:track:7mTu2ZcNb2Ip79YEzZZnrf,61,Ana,https://open.spotify.com/track/7mTu2ZcNb2Ip79YEzZZnrf,2G7QgTep5IsJHGHm1hXygD
73,Al mar!,Manel,2008-11-11,False,spotify:track:4KQPAGQNStZaWiewr83fwM,47,Pau,https://open.spotify.com/track/4KQPAGQNStZaWiewr83fwM,40tHhop0T30DwienQBmTxb
74,LET GO,Central Cee,2022-12-15,False,spotify:track:3zkyus0njMCL6phZmNNEeN,92,Miriam,https://open.spotify.com/track/3zkyus0njMCL6phZmNNEeN,5H4yInM5zmHqpKIoMNAx4r
